Area,County
Albany County,Albany
Albany-Rensselaer-Schenectady Counties,Albany
Albany-Rensselaer-Schenectady Counties,Rensselaer
Albany-Rensselaer-Schenectady Counties,Schenectady
Albany-Schenectady-Troy Metro Area,Albany
Albany-Schenectady-Troy Metro Area,Saratoga
Albany-Schenectady-Troy Metro Area,Schenectady
Albany-Schenectady-Troy Metro Area,Rensselaer
Albany-Schenectady-Troy Metro Area,Schoharie
Allegany County,Allegany
Allegany-Cattaraugus,Allegany
Allegany-Cattaraugus,Cattaraugus
Amsterdam  NY Micropolitan Statistical Area,Montgomery
Auburn  NY Micropolitan Statistical Area,Cayuga
BALANCE OF STATE,Fulton
BALANCE OF STATE,Herkimer
BALANCE OF STATE,Montgomery
BALANCE OF STATE,Putnam
BALANCE OF STATE,Schoharie
Batavia  NY Micropolitan Statistical Area,Genesee
Binghamton Metro Area,Broome
Binghamton Metro Area,Tioga
Bronx County,Bronx
Broome County,Broome
Broome-Tioga,Broome
Broome-Tioga,Tioga
Buffalo-Niagara Falls Metro Area,Erie
Buffalo-Niagara Falls Metro Area,Niagara
Capital Region,Albany
Capital Region,Columbia
Capital Region,Greene
Capital Region,Rensselaer
Capital Region,Saratoga
Capital Region,Schenectady
Capital Region,Warren
Capital Region,Washington
Cattaraugus County,Cattaraugus
Cayuga County,Cayuga
Cayuga-Cortland,Cayuga
Cayuga-Cortland,Cortland
Central New York Region,Cayuga
Central New York Region,Cortland
Central New York Region,Madison
Central New York Region,Onondaga
Central New York Region,Oswego
Chautauqua,Chautauqua
Chautauqua County,Chautauqua
Chemung County,Chemung
Chemung-Schuyler-Steuben,Chemung
Chemung-Schuyler-Steuben,Schuyler
Chemung-Schuyler-Steuben,Steuben
Chenango County,Chenango
Chenango-Delaware-Otsego,Chenango
Chenango-Delaware-Otsego,Delaware
Chenango-Delaware-Otsego,Otsego
Clinton County,Clinton
Clinton-Essex-Franklin-Hamilton,Clinton
Clinton-Essex-Franklin-Hamilton,Essex
Clinton-Essex-Franklin-Hamilton,Franklin
Clinton-Essex-Franklin-Hamilton,Hamilton
Columbia County,Columbia
Columbia-Greene,Columbia
Columbia-Greene,Greene
Corning  NY Micropolitan Statistical Area,Steuben
Cortland County,Cortland
Cortland  NY Micropolitan Statistical Area,Cortland
Delaware County,Delaware
Dutchess,Dutchess
Dutchess County,Dutchess
Dutchess-Putnam Metropolitan Division,Dutchess
Dutchess-Putnam Metropolitan Division,Putnam
Elmira Metro Area,Chemung
Erie,Erie
Erie County,Erie
Essex County,Essex
Finger Lakes Region,Genesee
Finger Lakes Region,Livingston
Finger Lakes Region,Monroe
Finger Lakes Region,Ontario
Finger Lakes Region,Orleans
Finger Lakes Region,Seneca
Finger Lakes Region,Wayne
Finger Lakes Region,Wyoming
Finger Lakes Region,Yates
Franklin County,Franklin
Fulton County,Fulton
Fulton-Montgomery-Schoharie,Fulton
Fulton-Montgomery-Schoharie,Montgomery
Fulton-Montgomery-Schoharie,Schoharie
Genesee County,Genesee
Genesee-Livingston-Orleans-Wyoming,Genesee
Genesee-Livingston-Orleans-Wyoming,Livingston
Genesee-Livingston-Orleans-Wyoming,Orleans
Genesee-Livingston-Orleans-Wyoming,Wyoming
Glens Falls Metro Area,Warren
Glens Falls Metro Area,Washington
Gloversville  NY Micropolitan Statistical Area,Fulton
Greene County,Greene
Hamilton County,Hamilton
Herkimer County,Herkimer
Herkimer-Madison-Oneida,Herkimer
Herkimer-Madison-Oneida,Madison
Herkimer-Madison-Oneida,Oneida
Hudson Valley Region,Dutchess
Hudson Valley Region,Orange
Hudson Valley Region,Putnam
Hudson Valley Region,Rockland
Hudson Valley Region,Sullivan
Hudson Valley Region,Ulster
Hudson Valley Region,Westchester
Hudson  NY Micropolitan Statistical Area,Columbia
Ithaca Metro Area,Tompkins
Jamestown-Dunkirk-Fredonia  NY Micropolitan Statistical Area,Chautauqua
Jefferson County,Jefferson
Jefferson-Lewis,Jefferson
Jefferson-Lewis,Lewis
Kings County,Kings
Kingston Metro Area,Ulster
Lewis County,Lewis
Livingston County,Livingston
Long Island Region,Nassau
Long Island Region,Suffolk
Madison County,Madison
Malone  NY Micropolitan Statistical Area,Franklin
Mohawk Valley Region,Fulton
Mohawk Valley Region,Herkimer
Mohawk Valley Region,Montgomery
Mohawk Valley Region,Oneida
Mohawk Valley Region,Otsego
Mohawk Valley Region,Schoharie
Monroe,Monroe
Monroe County,Monroe
Montgomery County,Montgomery
Nassau County,Nassau
Nassau-Suffolk Metropolitan Division,Nassau
Nassau-Suffolk Metropolitan Division,Suffolk
New York City,Bronx
New York City,Kings
New York City,New York
New York City,Queens
New York City,Richmond
New York City,New York
New York City Region,Bronx
New York City Region,Kings
New York City Region,New York
New York City Region,Queens
New York City Region,Richmond
New York County,New York
New York State,NOT A
Niagara,Niagara
Niagara County,Niagara
North Country Region,Clinton
North Country Region,Essex
North Country Region,Franklin
North Country Region,Hamilton
North Country Region,Jefferson
North Country Region,Lewis
North Country Region,St. Lawrence
Ogdensburg-Massena  NY Micropolitan Statistical Area,St. Lawrence
Olean  NY Micropolitan Statistical Area,Cattaraugus
Oneida County,Oneida
Oneonta  NY Micropolitan Statistical Area,Otsego
Onondaga,Onondaga
Onondaga County,Onondaga
Ontario County,Ontario
Ontario-Seneca-Wayne-Yates,Ontario
Ontario-Seneca-Wayne-Yates,Seneca
Ontario-Seneca-Wayne-Yates,Wayne
Ontario-Seneca-Wayne-Yates,Yates
Orange,Orange
Orange County,Orange
Orange-Rockland-Westchester Metro Area,Orleans
Orleans County,Orleans
Oswego,Oswego
Oswego County,Oswego
Otsego County,Otsego
Plattsburgh  NY Micropolitan Statistical Area,Clinton
Putnam County,Putnam
Putnam-Balance Of Westchester,NOT A
Queens County,Queens
Rensselaer County,Rensselaer
Richmond County,Richmond
Rochester Metro Area,Monroe
Rochester Metro Area,Ontario
Rochester Metro Area,Wayne
Rochester Metro Area,Livingston
Rochester Metro Area,Orleans
Rochester Metro Area,Yates
Rockland,Rockland
Rockland County,Rockland
Saratoga County,Saratoga
Saratoga-Warren-Washington,Saratoga
Saratoga-Warren-Washington,Warren
Saratoga-Warren-Washington,Washington
Schenectady County,Schenectady
Schoharie County,Schoharie
Schuyler County,Schuyler
Seneca County,Seneca
Seneca Falls  NY Micropolitan Statistical Area,Seneca
Southern Tier Region,Broome
Southern Tier Region,Chemung
Southern Tier Region,Chenango
Southern Tier Region,Delaware
Southern Tier Region,Schuyler
Southern Tier Region,Steuben
Southern Tier Region,Tioga
Southern Tier Region,Tompkins
St. Lawrence,St. Lawrence
St. Lawrence County,St. Lawrence
Steuben County,Steuben
Suffolk,Suffolk
Suffolk County,Suffolk
Sullivan,Sullivan
Sullivan County,Sullivan
Syracuse Metro Area,Onondaga
Syracuse Metro Area,Oswego
Syracuse Metro Area,Madison
Tioga County,Tioga
Tompkins,Tompkins
Tompkins County,Tompkins
Ulster,Ulster
Ulster County,Ulster
Utica-Rome Metro Area,Oneida
Utica-Rome Metro Area,Herkimer
Warren County,Warren
Washington County,Washington
Watertown-Fort Drum Metro Area,Jefferson
Wayne County,Wayne
Westchester County,Westchester
Western New York Region,Allegany
Western New York Region,Cattaraugus
Western New York Region,Chautauqua
Western New York Region,Erie
