County,Agency
Dutchess,Red Hook Vg PD
Nassau,Lynbrook Vg PD
Schoharie,Schoharie PCT (NYC-DEPP)
Steuben,Steuben County Sheriff
Chautauqua,Chautauqua County Sheriff
Erie,Erie County Sheriff
Suffolk,Suffolk County PD
Franklin,Franklin County State Police
Westchester,Croton-Kensico PCT (NYC-DEPP)
Suffolk,East Hampton Town PD
St Lawrence,Norfolk Town PD
Chautauqua,County Total
Onondaga,Jordan Vg PD
Chemung,Elmira Heights Vg PD
Orange,County Total
Otsego,Oneonta City PD
Albany,Colonie Town PD
Columbia,Greenport Town PD
Nassau,Long Beach City PD
Dutchess,County Total
Westchester,County Total
Nassau,Oyster Bay Cove Vg PD
Erie,Eden Town PD
Suffolk,Northport Vg PD
Erie,County Total
Onondaga,Cicero Town PD
Genesee,LeRoy Vg PD
Westchester,Buchanan Vg PD
Westchester,New Castle Town PD
Erie,Eden Town PD
Erie,Buffalo City PD
Orange,Orange County Park PD
Lewis,Lewis County Sheriff
Niagara,North Tonawanda City PD
Livingston,Geneseo Vg PD
Rensselaer,Rensselaer Poly Tech Police
Washington,Fort Edward Vg PD
Hamilton,Hamilton County State Police
Region Total,Region Total
Wayne,Wayne County State Police
Saratoga,Waterford Town and Vg PD
Dutchess,Pine Plains Town PD
Allegany,Allegany County State Police
Erie,Erie County (RR-NS)
Rockland,Haverstraw Vg PD
Hamilton,County Total
Sullivan,Liberty Vg PD
Ontario,Canandaigua City PD
Essex,County Total
Onondaga,Onondaga County Park PD
Herkimer,Frankfort Vg PD
Cayuga,County Total
Hamilton,County Total
Westchester,Mamaroneck Town PD
Steuben,County Total
Ulster,Kingston City PD
Erie,Erie County State Police
Putnam,Cold Spring Vg PD
Montgomery,Canajoharie Vg PD
Greene,Athens Vg PD
Westchester,Greenburgh Town PD
Rockland,Rockland County Sheriff
Westchester,Tarrytown Vg PD
Essex,Ticonderoga Town PD
Seneca,Seneca County Park PD
Broome,Broome County State Police
Dutchess,Northeast T and Millerton V PD
Orange,Maybrook Vg PD
Kings,County Total
Chenango,Chenango County Sheriff
Orleans,Orleans County Park PD
Dutchess,Poughkeepsie Town PD
Orange,Montgomery Vg PD
Clinton,Plattsburgh City PD
Nassau,Rockville Centre Vg PD
Fulton,Fulton County Sheriff
Westchester,Pelham Manor Vg PD
Erie,Hamburg Town PD
Erie,Tonawanda City PD
Niagara,Middleport Vg PD
Erie,Akron Vg PD
Broome,Broome County Sheriff
Orange,Warwick Town PD
Otsego,Oneonta City PD
Schenectady,Schenectady County Sheriff
Chemung,Elmira City PD
Nassau,County Total
Niagara,Lewiston Town PD
Ulster,Shandaken Town PD
Ulster,Hurley Town PD
Madison,Madison County Park PD
Chenango,Afton Vg PD
Suffolk,Northport Vg PD
Washington,Granville Vg PD
Niagara,Niagara County State Police
Ulster,Kingston City PD
Oneida,Utica City PD
Schoharie,SUNY College At Cobleskill
Nassau,Nassau County State Police
Putnam,Putnam Valley Town PD
Fulton,Fulton County State Police
Suffolk,East Hampton Town PD
Erie,Buffalo City PD
Ontario,Ontario County Park PD
Westchester,Mount Kisco Vg PD
Westchester,Larchmont Vg PD
Genesee,Genesee County Sheriff
Chautauqua,Chautauqua County State Police
Suffolk,Suffolk County State Police
Suffolk,Suffolk County State Police
Chemung,Southport Town PD
Steuben,Canisteo Vg PD
Tompkins,County Total
Otsego,Otsego County State Police
Ulster,Woodstock Town PD
Chemung,Horseheads Vg PD
Oswego,Central Square Vg PD
Saratoga,South Glens Falls Vg PD
Herkimer,Webb Town PD
Erie,County Total
Orange,Newburgh Town PD
Onondaga,Manlius Town PD
Ulster,Woodstock Town PD
Madison,Madison County Park PD
Jefferson,Sackets Harbor Vg PD
Monroe,Monroe County Park PD
Steuben,Addison Vg PD
Livingston,County Total
Allegany,Cuba Town PD
Ontario,Canandaigua City PD
Madison,Canastota Vg PD
Orange,Newburgh City PD
Orange,Warwick Town PD
Montgomery,Amsterdam City PD
Otsego,Oneonta City PD
Orange,Montgomery Town PD
Schoharie,Schoharie Vg PD
Herkimer,Herkimer County Sheriff
Tompkins,Cayuga Heights Vg PD
Clinton,SUNY College At Plattsburgh
Orleans,Orleans County Sheriff
Sullivan,Sullivan County State Police
Westchester,Port Chester Vg PD
Allegany,Allegany County State Police
Rockland,Piermont Vg PD
Schuyler,Watkins Glen Vg PD
Cattaraugus,Cattaraugus County State Police
Chenango,County Total
Jefferson,Jefferson County State Police
Ontario,Ontario County State Police
Onondaga,Onondaga County Sheriff
Hamilton,Hamilton County State Police
Nassau,Floral Park Vg PD
Wayne,Macedon Town and Vg PD
Suffolk,Suffolk County PD
Onondaga,Baldwinsville Vg PD
Nassau,Kensington Vg PD
Putnam,Putnam County (RR-MN)
Westchester,North Castle Town PD
Monroe,Ogden Town PD
Chautauqua,County Total
Ontario,Geneva City PD
